INFO:2025-03-13 11:10:22,984: Epoch [139/201], Step [360/641], Mel Loss: 0.19279, Adv Loss: 0.71896, Disc Loss: 1.36884, Mono Loss: 0.02206, S2S Loss: 0.01204
INFO:2025-03-13 11:14:28,260: Epoch [139/201], Step [380/641], Mel Loss: 0.19295, Adv Loss: 0.72704, Disc Loss: 1.33058, Mono Loss: 0.03386, S2S Loss: 0.00626
INFO:2025-03-13 11:18:34,976: Epoch [139/201], Step [400/641], Mel Loss: 0.19353, Adv Loss: 0.70892, Disc Loss: 1.33650, Mono Loss: 0.04184, S2S Loss: 0.00288
INFO:2025-03-13 11:22:41,184: Epoch [139/201], Step [420/641], Mel Loss: 0.19595, Adv Loss: 0.71017, Disc Loss: 1.36171, Mono Loss: 0.02824, S2S Loss: 0.00268
INFO:2025-03-13 11:26:44,251: Epoch [139/201], Step [440/641], Mel Loss: 0.19698, Adv Loss: 0.70304, Disc Loss: 1.35243, Mono Loss: 0.04210, S2S Loss: 0.01293
INFO:2025-03-13 11:30:55,856: Epoch [139/201], Step [460/641], Mel Loss: 0.19254, Adv Loss: 0.72156, Disc Loss: 1.35465, Mono Loss: 0.02443, S2S Loss: 0.00261
INFO:2025-03-13 11:34:59,068: Epoch [139/201], Step [480/641], Mel Loss: 0.19783, Adv Loss: 0.77054, Disc Loss: 1.34796, Mono Loss: 0.02385, S2S Loss: 0.00569
INFO:2025-03-13 11:39:02,145: Epoch [139/201], Step [500/641], Mel Loss: 0.19565, Adv Loss: 0.63710, Disc Loss: 1.38839, Mono Loss: 0.02627, S2S Loss: 0.00892
INFO:2025-03-13 11:43:06,094: Epoch [139/201], Step [520/641], Mel Loss: 0.19015, Adv Loss: 0.71079, Disc Loss: 1.37013, Mono Loss: 0.03841, S2S Loss: 0.00122
INFO:2025-03-13 11:47:08,478: Epoch [139/201], Step [540/641], Mel Loss: 0.19024, Adv Loss: 0.73715, Disc Loss: 1.35875, Mono Loss: 0.03909, S2S Loss: 0.01040
INFO:2025-03-13 11:51:13,813: Epoch [139/201], Step [560/641], Mel Loss: 0.19536, Adv Loss: 0.70353, Disc Loss: 1.34514, Mono Loss: 0.03171, S2S Loss: 0.00597
INFO:2025-03-13 11:55:15,080: Epoch [139/201], Step [580/641], Mel Loss: 0.19308, Adv Loss: 0.69467, Disc Loss: 1.35033, Mono Loss: 0.03445, S2S Loss: 0.01823
INFO:2025-03-13 11:59:25,896: Epoch [139/201], Step [600/641], Mel Loss: 0.19526, Adv Loss: 0.70004, Disc Loss: 1.36509, Mono Loss: 0.02394, S2S Loss: 0.01339
INFO:2025-03-13 12:03:28,885: Epoch [139/201], Step [620/641], Mel Loss: 0.19494, Adv Loss: 0.77488, Disc Loss: 1.34212, Mono Loss: 0.02479, S2S Loss: 0.00386
INFO:2025-03-13 12:07:34,969: Epoch [139/201], Step [640/641], Mel Loss: 0.19513, Adv Loss: 0.68312, Disc Loss: 1.36244, Mono Loss: 0.02539, S2S Loss: 0.01837
INFO:2025-03-13 12:07:55,111: Validation mel loss: 0.191
INFO:2025-03-13 12:11:56,542: Epoch [140/201], Step [20/641], Mel Loss: 0.19721, Adv Loss: 0.71604, Disc Loss: 1.35265, Mono Loss: 0.03940, S2S Loss: 0.00940
INFO:2025-03-13 12:16:03,631: Epoch [140/201], Step [40/641], Mel Loss: 0.19448, Adv Loss: 0.71013, Disc Loss: 1.36460, Mono Loss: 0.02252, S2S Loss: 0.01101
INFO:2025-03-13 12:20:04,915: Epoch [140/201], Step [60/641], Mel Loss: 0.19443, Adv Loss: 0.72310, Disc Loss: 1.30211, Mono Loss: 0.06084, S2S Loss: 0.00487
INFO:2025-03-13 12:23:53,605: Epoch [140/201], Step [80/641], Mel Loss: 0.19041, Adv Loss: 0.73437, Disc Loss: 1.32147, Mono Loss: 0.04293, S2S Loss: 0.01075
INFO:2025-03-13 12:27:52,706: Epoch [140/201], Step [100/641], Mel Loss: 0.19634, Adv Loss: 0.76650, Disc Loss: 1.37342, Mono Loss: 0.02419, S2S Loss: 0.01276
INFO:2025-03-13 12:31:54,410: Epoch [140/201], Step [120/641], Mel Loss: 0.19539, Adv Loss: 0.72034, Disc Loss: 1.35969, Mono Loss: 0.02719, S2S Loss: 0.00088
INFO:2025-03-13 12:35:52,781: Epoch [140/201], Step [140/641], Mel Loss: 0.19303, Adv Loss: 0.68700, Disc Loss: 1.37460, Mono Loss: 0.02674, S2S Loss: 0.01258
INFO:2025-03-13 12:39:57,006: Epoch [140/201], Step [160/641], Mel Loss: 0.19444, Adv Loss: 0.72260, Disc Loss: 1.36717, Mono Loss: 0.02587, S2S Loss: 0.00333
