INFO:2025-03-20 15:43:16,525: Epoch [20/101], Step [520/641], Loss: 0.30495, Avd Loss: 0.74075,  Disc Loss: 1.37741, Dur Loss: 0.51639, Norm Loss: 0.41664, F0 Loss: 1.99829
INFO:2025-03-20 15:45:41,002: Epoch [20/101], Step [540/641], Loss: 0.30329, Avd Loss: 0.71025,  Disc Loss: 1.34397, Dur Loss: 0.44127, Norm Loss: 0.35779, F0 Loss: 2.03075
INFO:2025-03-20 15:48:03,725: Epoch [20/101], Step [560/641], Loss: 0.30386, Avd Loss: 0.72870,  Disc Loss: 1.33044, Dur Loss: 0.42716, Norm Loss: 0.39381, F0 Loss: 1.87133
INFO:2025-03-20 15:50:28,427: Epoch [20/101], Step [580/641], Loss: 0.30615, Avd Loss: 0.83019,  Disc Loss: 1.35979, Dur Loss: 0.45115, Norm Loss: 0.40685, F0 Loss: 2.25463
INFO:2025-03-20 15:52:56,297: Epoch [20/101], Step [600/641], Loss: 0.30133, Avd Loss: 0.74351,  Disc Loss: 1.32333, Dur Loss: 0.43660, Norm Loss: 0.41180, F0 Loss: 2.25692
INFO:2025-03-20 15:55:20,548: Epoch [20/101], Step [620/641], Loss: 0.30738, Avd Loss: 0.69513,  Disc Loss: 1.34619, Dur Loss: 0.44956, Norm Loss: 0.33847, F0 Loss: 1.86729
INFO:2025-03-20 15:57:50,555: Epoch [20/101], Step [640/641], Loss: 0.30431, Avd Loss: 0.74967,  Disc Loss: 1.36578, Dur Loss: 0.53669, Norm Loss: 0.45373, F0 Loss: 2.36089
INFO:2025-03-20 15:58:24,040: Validation loss: 0.325, 0.479
INFO:2025-03-20 16:00:53,643: Epoch [21/101], Step [20/641], Loss: 0.29924, Avd Loss: 0.71405,  Disc Loss: 1.34068, Dur Loss: 0.45648, Norm Loss: 0.54238, F0 Loss: 2.45999
INFO:2025-03-20 16:03:29,627: Epoch [21/101], Step [40/641], Loss: 0.29983, Avd Loss: 0.66473,  Disc Loss: 1.35065, Dur Loss: 0.49638, Norm Loss: 0.40437, F0 Loss: 2.33897
INFO:2025-03-20 16:05:54,981: Epoch [21/101], Step [60/641], Loss: 0.29647, Avd Loss: 0.72995,  Disc Loss: 1.34398, Dur Loss: 0.46322, Norm Loss: 0.43848, F0 Loss: 2.29943
